Freq (hertz)	SPL (dB)	WPhase (deg)
204.44  	93.86   	40.61   
207.38  	94.07   	37.71   
210.37  	94.28   	34.95   
213.40  	94.50   	32.33   
216.47  	94.72   	29.83   
219.59  	94.94   	27.44   
222.75  	95.16   	25.15   
225.96  	95.39   	22.96   
229.22  	95.62   	20.84   
232.52  	95.85   	18.79   
235.87  	96.09   	16.81   
239.27  	96.33   	14.88   
242.71  	96.57   	13.00   
246.21  	96.82   	11.16   
249.76  	97.07   	9.35    
253.35  	97.32   	7.57    
257.00  	97.57   	5.81    
260.70  	97.83   	4.07    
264.46  	98.10   	2.34    
268.27  	98.36   	0.61    
272.13  	98.63   	-1.11   
276.05  	98.90   	-2.84   
280.03  	99.17   	-4.58   
284.06  	99.45   	-6.33   
288.16  	99.72   	-8.11   
292.31  	100.00  	-9.91   
296.52  	100.28  	-11.73  
300.79  	100.56  	-13.59  
305.12  	100.84  	-15.49  
309.52  	101.12  	-17.43  
313.97  	101.40  	-19.42  
318.50  	101.67  	-21.46  
323.08  	101.95  	-23.56  
327.74  	102.21  	-25.72  
332.46  	102.47  	-27.95  
337.25  	102.72  	-30.25  
342.11  	102.96  	-32.61  
347.03  	103.19  	-35.06  
352.03  	103.41  	-37.58  
357.10  	103.61  	-40.19  
362.25  	103.80  	-42.87  
367.47  	103.96  	-45.63  
372.76  	104.11  	-48.47  
378.13  	104.24  	-51.39  
383.58  	104.34  	-54.37  
389.10  	104.43  	-57.42  
394.71  	104.49  	-60.52  
400.39  	104.53  	-63.66  
406.16  	104.55  	-66.84  
412.01  	104.55  	-70.04  
417.94  	104.53  	-73.25  
423.96  	104.49  	-76.45  
430.07  	104.44  	-79.64  
436.27  	104.37  	-82.79  
442.55  	104.30  	-85.91  
448.93  	104.21  	-88.96  
455.39  	104.12  	-91.96  
461.95  	104.01  	-94.88  
468.61  	103.91  	-97.73  
475.36  	103.80  	-100.50 
482.20  	103.69  	-103.18 
489.15  	103.58  	-105.77 
496.19  	103.47  	-108.27 
503.34  	103.36  	-110.69 
510.59  	103.26  	-113.02 
517.95  	103.16  	-115.28 
525.41  	103.06  	-117.45 
532.98  	102.97  	-119.54 
540.65  	102.89  	-121.57 
548.44  	102.81  	-123.53 
556.34  	102.73  	-125.42 
564.36  	102.67  	-127.26 
572.48  	102.61  	-129.05 
580.73  	102.56  	-130.79 
589.10  	102.51  	-132.50 
597.58  	102.48  	-134.16 
606.19  	102.45  	-135.79 
614.92  	102.44  	-137.40 
623.78  	102.43  	-138.99 
632.76  	102.43  	-140.57 
641.88  	102.43  	-142.13 
651.13  	102.45  	-143.70 
660.50  	102.48  	-145.26 
670.02  	102.52  	-146.84 
679.67  	102.56  	-148.43 
689.46  	102.62  	-150.05 
699.39  	102.68  	-151.69 
709.47  	102.75  	-153.36 
719.69  	102.84  	-155.08 
730.05  	102.93  	-156.85 
740.57  	103.02  	-158.68 
751.24  	103.13  	-160.57 
762.06  	103.24  	-162.54 
773.03  	103.36  	-164.58 
784.17  	103.48  	-166.72 
795.47  	103.61  	-168.96 
806.92  	103.74  	-171.30 
818.55  	103.87  	-173.75 
830.34  	103.99  	-176.33 
842.30  	104.12  	-179.03 
854.43  	104.24  	178.14  
866.74  	104.35  	175.18  
879.22  	104.46  	172.09  
