Freq (hertz)	SPL (dB)	WPhase (deg)
  182.33	   93.53	   22.83
  184.96	   93.56	   21.85
  187.63	   93.59	   20.87
  190.33	   93.62	   19.90
  193.07	   93.66	   18.93
  195.85	   93.69	   17.97
  198.67	   93.73	   17.00
  201.53	   93.77	   16.03
  204.44	   93.82	   15.06
  207.38	   93.87	   14.09
  210.37	   93.92	   13.12
  213.40	   93.97	   12.14
  216.47	   94.02	   11.16
  219.59	   94.08	   10.17
  222.75	   94.15	    9.18
  225.96	   94.21	    8.18
  229.22	   94.28	    7.16
  232.52	   94.35	    6.14
  235.87	   94.43	    5.11
  239.27	   94.51	    4.06
  242.71	   94.59	    2.99
  246.21	   94.67	    1.91
  249.76	   94.76	    0.81
  253.35	   94.86	   -0.31
  257.00	   94.95	   -1.45
  260.70	   95.05	   -2.61
  264.46	   95.16	   -3.80
  268.27	   95.27	   -5.02
  272.13	   95.38	   -6.28
  276.05	   95.50	   -7.56
  280.03	   95.62	   -8.88
  284.06	   95.75	  -10.25
  288.16	   95.87	  -11.65
  292.31	   96.01	  -13.11
  296.52	   96.15	  -14.61
  300.79	   96.29	  -16.17
  305.12	   96.43	  -17.79
  309.52	   96.58	  -19.47
  313.97	   96.73	  -21.22
  318.50	   96.89	  -23.05
  323.08	   97.05	  -24.96
  327.74	   97.20	  -26.95
  332.46	   97.36	  -29.03
  337.25	   97.52	  -31.22
  342.11	   97.68	  -33.50
  347.03	   97.84	  -35.90
  352.03	   98.00	  -38.41
  357.10	   98.15	  -41.04
  362.25	   98.29	  -43.79
  367.47	   98.42	  -46.66
  372.76	   98.55	  -49.67
  378.13	   98.66	  -52.79
  383.58	   98.76	  -56.04
  389.10	   98.83	  -59.40
  394.71	   98.89	  -62.87
  400.39	   98.92	  -66.43
  406.16	   98.93	  -70.06
  412.01	   98.92	  -73.76
  417.94	   98.87	  -77.49
  423.96	   98.80	  -81.24
  430.07	   98.70	  -84.98
  436.27	   98.57	  -88.69
  442.55	   98.42	  -92.36
  448.93	   98.24	  -95.95
  455.39	   98.04	  -99.46
  461.95	   97.82	 -102.87
  468.61	   97.58	 -106.17
  475.36	   97.32	 -109.36
  482.20	   97.06	 -112.43
  489.15	   96.78	 -115.38
  496.19	   96.49	 -118.21
  503.34	   96.20	 -120.92
  510.59	   95.91	 -123.51
  517.95	   95.62	 -126.00
  525.41	   95.32	 -128.38
  532.98	   95.03	 -130.67
